"July Item Key","July Item Number","Mental Health Topic","Prior Administrations","Prior Item Keys","Same Response Set Across Prior Administrations","Same Key Across Prior Administrations","Max Points","July Facility","Prior Weighted Facility","Facility Difference","Stem / Scenario"
"2026-07-E1-Q49",49,"Psychopharmacology",1,"2026-05-E1-Q56",TRUE,TRUE,2.5,0.555555555555556,0.818181818181818,-0.262626262626263,"The nurse is caring for a client with alcohol withdrawal who presents with anxiety and tremors. Which action should the nurse take when caring for the client?"
"2026-07-E1-Q22",22,"Medication Calculation",1,"2026-05-E1-Q18",TRUE,TRUE,2.5,0.666666666666667,0.909090909090909,-0.242424242424242,"The client has an order for lithium 600 mg PO every 8 hours. Available is lithium 300 mg per 5 mL for oral administration. 1 How many mL should the nurse administer per dose? mL (If needed, round the answer to the nearest whole number.) 1. 10"
"2026-07-E1-Q42",42,"The Therapeutic Milieu",1,"2026-05-E1-Q44",TRUE,TRUE,2.5,0.444444444444444,0.636363636363636,-0.191919191919192,"A nurse is engaging in a conversation with a client in a therapeutic milieu. Which action should the nurse prioritize to maximize the therapeutic potential of the interaction?"
"2026-07-E1-Q38",38,"The Therapeutic Milieu",1,"2026-05-E1-Q41",TRUE,TRUE,2.5,0.777777777777778,0.909090909090909,-0.131313131313131,"A nurse is caring for a mental health client. Which action demonstrates the nurse is functioning in the working phase of the nurse-client relationship?"
"2026-07-E1-Q40",40,"The Therapeutic Milieu",2,"2026-03-E1-Q14; 2026-05-E1-Q38",FALSE,TRUE,2.5,0.555555555555556,0.666666666666667,-0.111111111111111,"A charge nurse is conducting an in-service for new graduate nurses on non-therapeutic communication techniques. Which identified non-therapeutic technique demonstrates effective learning has occurred?"
"2026-07-E1-Q29",29,"Mental Health Therapies",1,"2026-05-E1-Q31",TRUE,TRUE,2.5,0.555555555555556,0.636363636363636,-0.0808080808080808,"A nurse is working with a client who experiences anxiety and has been introduced to operant conditioning in therapy. Which action should the nurse take to reinforce this therapy?"
"2026-07-E1-Q19",19,"Ethical And Legal Issues In Mental Health Nursing",1,"2026-05-E1-Q25",TRUE,TRUE,2.5,0.944444444444444,1,-0.0555555555555556,"Complete the following sentence by choosing from the list of options. A nurse is caring for a client who has disclosed intent 1 2 to harm a friend and requested confidentiality. The nurse should and then . 1. report to the healthcare provider and team,maintain trust and confidentiality,limit incoming and outgoingphone calls 2. document the disclosure,apply physical restraints,limit visitors"
"2026-07-E1-Q32",32,"Professional Identity: Mental Health Nursing",1,"2026-05-E1-Q35",TRUE,TRUE,2.5,0.5,0.545454545454545,-0.0454545454545454,"A nurse has been assigned case management responsibilities for a client with mental health alterations. Which action(s) should the nurse identify for this role? Select all that apply."
"2026-07-E1-Q44",44,"The Therapeutic Milieu",1,"2026-05-E1-Q08",TRUE,TRUE,2.5,0.777777777777778,0.818181818181818,-0.0404040404040404,"What is the primary goal of therapeutic communication in nursing?"
"2026-07-E1-Q54",54,"Psychopharmacology",1,"2026-05-E1-Q48",TRUE,TRUE,2.5,1,1,0,"A nurse is caring for a client with a new prescription for sertraline. The client asks the nurse why the medication was prescribed. What is the nurses' best response?"
"2026-07-E1-Q43",43,"Psychopharmacology",2,"2026-01-E1-Q30; 2026-05-E1-Q54",TRUE,TRUE,2.5,1,0.68,0.32,"Nurse's Note Vital Signs Nurse's Note 45-year-old client arrives at the emergency department (ED) with complaints of sudden onset of 04/22/XX blurred vision and a pounding headache. States, ""my partner and I were sharing a lovely bottle of red 2130 wine and a charcuterie board with aged cheese and cured meats. Suddenly, I felt horrible."" Client reports a history of depression, managed by an unknown medication. Nurse's Note Vital Signs 04/22/XX 2120 Blood Pressure 180/110 Heart Rate 120 Respirations 18 0 o Temperature 98.6 F (37 C) Pulse oximetry 95% on room air Pain 9/10 ""pounding headache"" Review the electronic health record. Which medication is likely causing the client's symptoms?"
