"Item Key","Session","Item Number","Content Group","Student N","Local Facility","Local Corrected Item-Rest Correlation","Vendor/PDF Difficulty","Vendor/PDF Point-Biserial","Facility Difference vs PDF","Difficulty Flag","Discrimination Flag","Exact Reuse Count","Automated Review Note","Stem / Scenario","Options / Response Set","Correct Answer"
"2026-01-Q3-Q01","Jan 2026",1,"Suicide/safety",14,0.875,0.000528471811329652,0.4,0.13,0.475,"Moderate","Very low",1,"Very low local item-rest relationship","A community health nurse is providing an educational class about suicide prevention. Which risk factor(s) for suicide should the nurse include in the education? Select all that apply.","A. Having a mental health disorder B. Being married C. Being male D. Having a family history of suicide E. Use of illegal drugs","A,C,D,E"
"2026-01-Q3-Q02","Jan 2026",2,"Suicide/safety",14,0.928571428571429,-0.211447428397996,0.96,0.12,-0.0314285714285714,"Very easy","Negative",2,"Negative local item-rest relationship: review key, wording, and distractors; Very easy item; Exact stem reused 2 times","A nurse in a pediatric unit is working with an adolescent client with a history of depression. Which assessment finding indicates the client may be suicidal?","A. The client gives away a DVD and cherished autographed picture B. The client runs out of a therapy group swearing at the group leader C. The client becomes angry when speaking on the telephone and hangs up abruptly D. The client gets angry with their roommate for borrowing their items without asking","A"
"2026-01-Q3-Q03","Jan 2026",3,"Bipolar/mania",14,0.785714232409382,-0.403776335479835,0.66,0.21,0.125714232409382,"Moderate","Negative",1,"Negative local item-rest relationship: review key, wording, and distractors","A nurse is caring for a client with bipolar disorder. Which action(s) by the client should the nurse interpret as manic behavior? Select all that apply.","A. Talking in rapid, continuous speech B. Interacting with others in a flirtatious way C. Spending large sums of money D. Sleeping for long periods of time E. Dressing in black or grey clothing","A,B,C"
"2026-01-Q3-Q04","Jan 2026",4,"Bipolar/mania",14,0.928571428571429,0.154484498532425,0.9,0.14,0.0285714285714286,"Very easy","Low",1,"Low local item-rest relationship; Very easy item","A nurse is planning activities for a client who has bipolar disorder and is in the manic phase. Which activity is appropriate for the nurse to suggest when the client complains of boredom?","A. Watching TV in the day room with a group B. Taking a walk in the courtyard with the nurse C. Playing basketball in the gymnasium with other clients D. Participating in a group discussion about the local election","B"
"2026-01-Q3-Q05","Jan 2026",5,"Bipolar/mania",14,0.5,0.00431644767608089,0.58,0.27,-0.0799999999999998,"Difficult","Very low",1,"Very low local item-rest relationship; Difficult item: confirm clarity/key before retaining","A nurse working on a mental health unit is admitting a client that is in the manic phase of bipolar disorder. Which room assignment should the nurse plan to make for this client?","A. Plan to place the client in seclusion B. Place the client in a private room next to the nursing station C. Plan to place the client in a semi-private room with another bipolar client D. Place the client in a private room in a quiet location on the unit","D"
"2026-01-Q3-Q06","Jan 2026",6,"Bipolar/mania",14,0.714285714285714,0.352092202489756,0.66,0.3,0.0542857142857144,"Moderate","Acceptable",1,"Retain provisionally; continue accumulating local statistics","A nurse is caring for a client that has bipolar disorder. The nurse finds the client doing calisthenics instead of eating lunch in the dining room with the other clients. Which statement by the nurse is most appropriate?","A. ""You do not need to be exercising. You need to sit down and eat because you are already too thin."" B. ""Come with me and I will give you a milkshake to drink."" C. ""Have you thought about what you want to do today?"" D. ""You are not allowed to exercise in here.""","B"
"2026-01-Q3-Q07","Jan 2026",7,"Bipolar/mania",14,0.785714285714286,0.0333769675751214,0.8,0.22,-0.0142857142857142,"Moderate","Very low",1,"Very low local item-rest relationship","A nurse is planning care for a client experiencing the manic phase of bipolar disorder. Which intervention should the nurse include in the client's plan of care?","A. Schedule daily seclusion times B. Discourage daytime napping C. Have consistent unit routines D. Provide a stimulating environment","C"
"2026-01-Q3-Q08","Jan 2026",8,"Depression",14,1,,0.92,0.17,0.08,"Very easy","No variance / unstable",1,"No score variance; cannot discriminate in this cohort; Ceiling item (>=95% local facility)","Which client statement expresses a typical underlying feeling of clients diagnosed with major depressive disorder?","A. ""It's just a matter of time and I will be well."" B. ""If I ignore these feelings, they will go away."" C. ""I can fight these feelings and overcome this disorder."" D. ""I deserve to feel this way.""","D"
"2026-01-Q3-Q09","Jan 2026",9,"Depression",14,0.928571428571429,-0.0162349838555236,0.85,0.19,0.0785714285714286,"Very easy","Negative",1,"Negative local item-rest relationship: review key, wording, and distractors; Very easy item","A nurse is educating a client with depression about a new prescription for fluoxetine 20 mg daily. Which statement by the client indicates an understanding of the instructions?","A. ""I should expect relief from depression within 3 to 4 days."" B. ""I will take my fluoxetine at bedtime so I can sleep better."" C. ""I should notify my primary health care provider if I develop a skin rash."" D. ""I will notice an improvement in my sex drive.""","C"
"2026-01-Q3-Q10","Jan 2026",10,"Depression",14,0.642857142857143,-0.104749726060596,0.76,0.27,-0.117142857142857,"Moderate","Negative",1,"Negative local item-rest relationship: review key, wording, and distractors","A nurse is planning care for a client with depression. The nurse notes that the client is exhibiting weight loss, an inability to concentrate, an inability to complete everyday tasks, and a preference to sleep all day. Which nursing action should be included in the plan of care?","A. Discourage rest periods during the daytime B. Instruct the family to avoid visiting during mealtimes C. Offer three or four large meals daily D. Give the client extra time to communicate individual needs","D"
"2026-01-Q3-Q11","Jan 2026",11,"Depression",14,1,,0.98,-0.01,0.02,"Very easy","No variance / unstable",1,"No score variance; cannot discriminate in this cohort; Ceiling item (>=95% local facility)","A nurse in an outpatient mental health clinic observes a client that has depression sitting alone and crying. As the nurse approaches the client, the client states, ""I am not feeling up to talking right now."" What is the best response by the nurse make at this time?","A. ""You will feel better if you just verbalize it."" B. ""Why don't you want to talk about it?"" C. ""It is ok; I understand."" D. ""We do not need to talk, I am just going to sit here with you for a few minutes.""","D"
"2026-01-Q3-Q12","Jan 2026",12,"Depression",14,0.857142857142857,-0.265133658086131,0.8,0.22,0.0571428571428572,"Moderate","Negative",1,"Negative local item-rest relationship: review key, wording, and distractors","A nurse in an acute care mental health facility is caring for a client with depression. After 3 days of treatment, the nurse notices that the client suddenly seems cheerful and relaxed and there are no longer signs of a depressive state. Which nursing action is appropriate to include in the plan of care?","A. Encourage family to take the client out of the facility for short periods of time B. Reward the client for this change in behavior C. Monitor the client's whereabouts at all times D. Ask the client why the behavior has changed","C"
