Item Key,Assessment Key,Session,Session Sort,Type,Assessment Number,Item Number,PDF Question ID,CSV Question ID,ID Match,Correct Answer,Max Points,PDF Difficulty,Point-Biserial,Student N,Observed Facility,Observed-PDF Delta,Discrimination Flag,Difficulty Band,Review Priority,Stem / Scenario,Options / Response Set,Rationale,All Categories,Bloom,BSN Essential,Clinical Judgment,Concept,NCLEX Client Need,Nursing Process,QSEN,Question Type,Sphere of Care,Mental Health Topic,Source PDF
2026-01-Q1-Q01,2026-01-Q1,Jan 2026,2026-01,Quiz,1,1,35478,35478,Match,D,1,0.97,0.16,14,0.9285714285714286,-0.04142857142857137,Low,Very easy,Review,"A client routinely uses an excessive amount of alcohol when under stress. When her husband arrived home one day and found her intoxicated, he began yelling at her about her chronic alcohol abuse. Which of the wife’s actions demonstrates the defense mechanism of denial?",A. Hiding liquor bottles in a closet B. Yelling at her son for slouching C. Intentionally burning dinner D. Stating “I don’t drink too much!”,,,,,,,,,,,,,N326 Quiz 1 January 2026.pdf
2026-01-Q1-Q02,2026-01-Q1,Jan 2026,2026-01,Quiz,1,2,35475,35475,Match,B,1,0.87,0.21,14,0.9285714285714286,0.05857142857142861,Acceptable,Moderate,OK,A nurse is educating a patient about the difference between mental health and mental illness. Which statement indicates teaching was effective?,A. “Mental health is incongruence between feelings and behavior.” B. “Mental health is reflected by successful adaptation to stressors.” C. “Mental health is included in the diagnostic categories in the DSM-5.” D. “Mental health is characterized by an absence of stressors.”,,,,,,,,,,,,,N326 Quiz 1 January 2026.pdf
2026-01-Q1-Q03,2026-01-Q1,Jan 2026,2026-01,Quiz,1,3,35480,35480,Match,D,1,0.87,0.31,14,0.8571428571428571,-0.0128571428571429,Acceptable,Moderate,OK,Which statement should the nurse identify as correct regarding a client’s right to refuse treatment?,A. Clients can refuse pharmacological but not psychological treatment B. Clients can refuse any type of psychiatric treatment at any time C. The only treatment a client can refuse is electroconvulsive therapy (ECT) D. Professionals can override treatment refusal if the client is actively suicidal,,,,,,,,,,,,,N326 Quiz 1 January 2026.pdf
2026-01-Q1-Q04,2026-01-Q1,Jan 2026,2026-01,Quiz,1,4,35472,35472,Match,B,1,0.89,0.27,14,0.8571428571428571,-0.03285714285714292,Acceptable,Moderate,OK,"A client tells the nurse she is anxious and loudly demands the nurse give her lorazepam right now. The nurse replies, “I understand you are having anxiety; however, demanding medication in a loud voice is unacceptable behavior.” Which type of intervention is the nurse implementing?",A. Establishing trust B. Setting Limits C. Validating feelings D. Client teaching,,,,,,,,,,,,,N326 Quiz 1 January 2026.pdf
2026-01-Q1-Q05,2026-01-Q1,Jan 2026,2026-01,Quiz,1,5,35476,35476,Match,D,1,0.86,0.28,14,0.8571428571428571,-0.0028571428571428914,Acceptable,Moderate,OK,Which of the following indicates that the nurse understands self-disclosure is appropriate in a therapeutic nurse-client relationship?,A. There is a duty to warn B. The nurse feels emotionally indebted toward the client C. The information may benefit the nurse and client D. The information may benefit the client and promote growth,,,,,,,,,,,,,N326 Quiz 1 January 2026.pdf
2026-01-Q1-Q06,2026-01-Q1,Jan 2026,2026-01,Quiz,1,6,35479,35479,Match,C,1,0.8,0.29,14,0.6428571428571429,-0.15714285714285714,Acceptable,Moderate,OK,What is the most essential task for a nurse prior to forming a therapeutic relationship with a client?,"A. Determine the client’s length of stay B. Establish personal goals for the interaction C. Clarify personal attitudes, values, and beliefs D. Obtain thorough assessment data",,,,,,,,,,,,,N326 Quiz 1 January 2026.pdf
2026-01-Q1-Q07,2026-01-Q1,Jan 2026,2026-01,Quiz,1,7,35482,35482,Match,B,1,0.88,0.21,14,0.8571428571428571,-0.02285714285714291,Acceptable,Moderate,OK,Which of the following is the priority nursing action during the orientation (introductory) phase of the nurse-client relationship?,A. Acknowledge the client’s actions and generate alternative behaviors B. Establish rapport and develop mutually agreeable treatment goals C. Attempt to find alternative placement for the client D. Explore how thoughts and feelings may adversely impact nursing care,,,,,,,,,,,,,N326 Quiz 1 January 2026.pdf
2026-01-Q1-Q08,2026-01-Q1,Jan 2026,2026-01,Quiz,1,8,9058,9058,Match,C,1,0.91,0.21,14,0.7857142857142857,-0.12428571428571433,Acceptable,Very easy,Review,"A client states, ""I just don't know what to do about my partner's drinking. Every time I see my partner drinking beer, I start to feel extremely anxious."" Which statement is the most therapeutic response by the nurse?","A. ""Tell me more about what is going on with your child. Is your child still causing problems for you?"" B. ""At one time you told me you were drinking regularly with your partner. Are you continuing to do that?"" C. ""The next time your partner starts drinking, what is something you might do to decrease your anxiety?"" D. ""I think you should attend an Al-Anon meeting. It is a support group for people troubled by another person's drinking.""","Answer Rationale: This demonstrates the nurse encouraging the client to formulate a plan of action. It allows the client to identify an alternate course of action to a situation she finds troubling. The client is encouraged to continue to explore her feelings and to think about possible options regarding the situation. It also restates and clarifies what the nurse hears the client saying, which gives the client an opportunity to clarify what she has said if needed. This demonstrates the nurse changing the subject. This may invalidate the client's feelings and make her feel like what she is saying is not important. It also might make her feel that the nurse does not want to discuss it with her. The client should be encouraged to explore her feelings about her partner's drinking. This demonstrates the nurse making a value judgment toward the client. It is implying the client is doing something wrong. It can make the client feel guilty, angry, misunderstood, anxious, or not supported. This type of statement might cause the client to stop talking and not share anything else with the nurse. This demonstrates the nurse giving advice and is not a therapeutic response. The client might benefit from this support group, and the nurse should provide the client with information about Al- Anon. The nurse provides information so the client can make informed decisions. However, the nurse should not advise the client to attend the meeting, because this may be a personal projection.","PreL Bloom's Taxonomy, PreL Apply.Analyze, PreL BSN Essentials, PreL Domain 2: Person-Centered Care, PreL Concepts, PreL Communication, PreL Courses, NR326 Mental Health Nursing, PreL NCLEX Client Needs Category, PreL Psychosocial Integrity (PI), PreL Nursing Process, PreL Implementation.Intervention, PreL QSEN, PreL QSEN Patient-Centered Care, PreL Question Types, PreL Multiple Choice (Traditional and Extended), PreL Spheres of Care, PreL Wellness.Disease Prevention",PreL Apply.Analyze,PreL Domain 2: Person-Centered Care,,PreL Communication,PreL Psychosocial Integrity (PI),PreL Implementation.Intervention,PreL QSEN Patient-Centered Care,PreL Multiple Choice (Traditional and Extended),PreL Wellness.Disease Prevention,,N326 Quiz 1 January 2026.pdf
2026-01-Q1-Q09,2026-01-Q1,Jan 2026,2026-01,Quiz,1,9,12323,12323,Match,A,1,0.96,0.08,14,0.9285714285714286,-0.03142857142857136,Very low,Very easy,High,A nurse working in an alcohol treatment center is interviewing a client during the admission process. Which approach should the nurse take?,A. Interview the client in a nonjudgmental manner B. Interview the client without displaying an emotional response C. Interview the client offering sympathetic support D. Interview the client with disapproval of the substance abuse,"Answer Rationale: When developing a therapeutic relationship with any client, including a client who has an addictive disorder, it is important that the nurse remain nonjudgmental, showing positive regard for the client as a person. A lack of any emotional response can be interpreted as a lack of caring for the client and is nontherapeutic. The nurse should maintain genuineness when caring for clients. Genuineness includes being aware of one's feelings and communicating with the client in a professional but spontaneous manner. Offering sympathy is nontherapeutic. The nurse should instead show empathy and demonstrate that she objectively understands the client's feelings, but does not feel sympathy for the client. Verbalizing disapproval is nontherapeutic and can make the client feel defensive. Therefore, verbalizations of disapproval can interfere with the development of a therapeutic nurse-client relationship.","PreL Bloom's Taxonomy, PreL Remember.Understand, PreL BSN Essentials, PreL Domain 2: Person-Centered Care, PreL Concepts, PreL Addiction, PreL Communication, PreL Courses, NR326 Mental Health Nursing, PreL NCLEX Client Needs Category, PreL Psychosocial Integrity (PI), PreL Nursing Process, PreL Implementation.Intervention, PreL QSEN, PreL QSEN Patient-Centered Care, PreL Question Types, PreL Multiple Choice (Traditional and Extended), PreL Spheres of Care, PreL Wellness.Disease Prevention",PreL Remember.Understand,PreL Domain 2: Person-Centered Care,,"PreL Addiction, PreL Communication",PreL Psychosocial Integrity (PI),PreL Implementation.Intervention,PreL QSEN Patient-Centered Care,PreL Multiple Choice (Traditional and Extended),PreL Wellness.Disease Prevention,,N326 Quiz 1 January 2026.pdf
2026-01-Q1-Q10,2026-01-Q1,Jan 2026,2026-01,Quiz,1,10,13380,13380,Match,C,1,0.94,0.11,14,1,0.06000000000000005,Low,Very easy,Review,"A nurse in a mental health clinic observes a client with a potential for violence to be agitated, pacing up and down the hallway, and making aggressive and belligerent gestures at other clients. Which statement by the nurse is most appropriate at this time?",A. “You need to stop that behavior right now.” B. “You will need to be placed in seclusion.” C. “You seem restless; tell me what is happening.” D. “You will need to be restrained if you do not change your behavior.”,Answer Rationale: “You seem restless; tell me what is happening.” is the most appropriate statement as it asked the client what is causing their agitation. This response also helps a client become aware of the behavior so that they can participate in their own planning of appropriate interventions. “You need to stop that behavior right now.” is not the best response. This statement is demanding and could increase the client's agitation. “You will need to be placed in seclusion.” is not the best response. This statement is inappropriate as it can be interpreted as threatening. “You will need to be restrained if you do not change your behavior.” is not the best response. This statement is inappropriate as it can be interpreted as threatening.,"PreL Bloom's Taxonomy, PreL Apply.Analyze, PreL BSN Essentials, PreL Domain 2: Person-Centered Care, PreL Concepts, PreL Communication, PreL Courses, NR326 Mental Health Nursing, PreL NCLEX Client Needs Category, PreL Psychosocial Integrity (PI), PreL Nursing Process, PreL Implementation.Intervention, PreL QSEN, PreL QSEN Patient-Centered Care, PreL Question Types, PreL Multiple Choice (Traditional and Extended), PreL Spheres of Care, PreL Wellness.Disease Prevention",PreL Apply.Analyze,PreL Domain 2: Person-Centered Care,,PreL Communication,PreL Psychosocial Integrity (PI),PreL Implementation.Intervention,PreL QSEN Patient-Centered Care,PreL Multiple Choice (Traditional and Extended),PreL Wellness.Disease Prevention,,N326 Quiz 1 January 2026.pdf
