"Item Key","Session","Item Number","Content Group","Student N","Local Facility","Local Corrected Item-Rest Correlation","Vendor/PDF Difficulty","Vendor/PDF Point-Biserial","Difficulty Flag","Discrimination Flag","Stem / Scenario","Options / Response Set","Correct Answer"
"2026-01-E2-Q02","Jan 2026",2,"Suicide/safety",14,0.969387742857143,-0.540321811436608,0.87,0.05,"Very easy","Negative","Client Profile Nurse's Note Vital Signs Name: Peter Sherman Provider: P. Mayo, MD Code Status: Full Code Allergies: None known Age: 44 years Weight: 82.3 kg (181.4 lbs) Client Profile Nurse's Note Vital Signs Date/Time Nurse's Notes History of Present Illness: Client presents to the emergency department with increased anxiety and frequent flashbacks over the past two weeks following the loss of a close friend. Appears disheveled, anxious, and easily startled. Client reports difficulty sleeping, with frequent nightmares that cause him to wake up in a panic. Additionally, the client mentions that these symptoms have led to a strained 03/17/XX relationship with their wife, due to the client’s irritability and isolation. The client states, ""My wife is 1020 supportive, but she would probably be better off if I wasn't around."" Past Medical History: Diagnosed with PTSD 5 years ago. History of depression and anxiety. No history of self-harm or substance abuse. Suicide risk assessment completed. Client states, “I once thought it would be better if I went to bed 03/17/XX and did not wake up, but I would never kill myself. I couldn’t do that to my family, plus I know God 1045 does not want me to do that.” No history of suicide attempts and client states, “I have been down before, but I have always gotten better.” Client Profile Nurse's Note Vital Signs 03/17/XX 1015 Blood pressure 138/90 Heart rate 98 Respiratory rate 20 Temperature 97.8 F (36.6 C) Pulse oximetry 97% on room air Pain 7/10 ""headache"" Review the electronic health record. For each assessment finding, click to specify if the finding is a risk factor or protective factor for suicide. Select the best answer in each row. Assessment Finding Risk Factor Protective Factor States, “I couldn't do that to my family.” Client’s belief in eventual recovery Supportive partner Recent loss of close friend Difficulty sleeping Diagnosis of PTSD Access to healthcare",,"SR [ A - 2, B - 2, C - 2, D - 1, E - 1, F - 1, G - 2 ]"
"2026-01-E2-Q03","Jan 2026",3,"Suicide/safety",14,0.714285714285714,-0.200550661257207,0.68,0.08,"Moderate","Negative","Client Profile Nurse's Note Vital Signs Name: Peter Sherman Provider: P. Mayo, MD Code Status: Full Code Allergies: None known Age: 44 years Weight: 82.3 kg (181.4 lbs) Client Profile Nurse's Note Vital Signs Date/Time Nurse's Notes History of Present Illness: Client presents to the emergency department with increased anxiety and frequent flashbacks over the past two weeks following the loss of a close friend. Appears disheveled, anxious, and easily startled. Client reports difficulty sleeping, with frequent nightmares that cause him to wake up in a panic. Additionally, the client mentions that these symptoms have led to a strained 03/17/XX relationship with their wife, due to the client’s irritability and isolation. The client states, ""My wife is 1020 supportive, but she would probably be better off if I wasn't around."" Past Medical History: Diagnosed with post-traumatic stress disorder (PTSD) 5 years ago. History of depression and anxiety. No history of self-harm or substance abuse. Suicide risk assessment completed. Client states, ""I once thought it might be better if I went to bed 3/17/XX and did not wake up, but I would never kill myself. I couldn’t do that to my family, plus I know God 1045 does not want me to do that.” No history of suicide attempts and client states, “I have been down before, but I have always gotten better.” Client Profile Nurse's Note Vital Signs 03/17/XX 1015 Blood pressure 138/90 Heart rate 98 Respiratory rate 20 Temperature 97.8 F (36.6 C) Pulse oximetry 97% on room air Pain 7/10 ""headache"" Review the electronic health record. What conclusion should the nurse make regarding the client's suicide risk?","A. He is at low risk for suicide. B. He is at severe risk for suicide. C. He is at high risk for suicide. D. He is at no risk for suicide.","A"
"2026-01-E2-Q04","Jan 2026",4,"Adjacent/PTSD",14,0.877550971428571,-0.081727787035982,0.5,0.04,"Moderate","Negative","Client Profile Nurse's Note Vital Signs Name: Peter Sherman Provider: P. Mayo, MD Code Status: Full Code Allergies: None known Age: 44 years Weight: 82.3 kg (181.4 lbs) Client Profile Nurse's Note Vital Signs Date/Time Nurse's Notes History of Present Illness: Client presents to the emergency department with increased anxiety and frequent flashbacks over the past two weeks following the loss of a close friend. Appears disheveled, anxious, and easily startled. Client reports difficulty sleeping, with frequent nightmares that cause him to wake up in a panic. Additionally, the client mentions that these symptoms have led to a strained 03/17/XX relationship with their wife, due to the client’s irritability and isolation. The client states, ""My wife is 1020 supportive, but she would probably be better off if I wasn't around."" Past Medical History: Diagnosed with PTSD 5 years ago. History of depression and anxiety. No history of self-harm or substance abuse. Suicide risk assessment completed. Client states, ""I once thought it might be better if I went to bed 03/17/XX and did not wake up, but I would never kill myself. I couldn’t do that to my family, plus I know God 1045 does not want me to do that.” No history of suicide attempts and client states, “I have been down before, but I have always gotten better.” Client Profile Nurse's Note Vital Signs 03/17/XX 1015 Blood pressure 138/90 Heart rate 98 Respiratory rate 20 Temperature 97.8 F (36.6 C) Pulse oximetry 97% on room air Pain 7/10 ""headache"" Review the electronic health record. In planning care for this client, click to specify whether each nursing action is appropriate or not appropriate. Select the best answer in each row. Nursing Actions Appropriate Not Appropriate Ask the client to describe their nightmares in detail. Arrange for case manager to visit with client and family. Validate the client's feelings and experiences. Knock or alert the client before entering. Stay with the client during any flashbacks. Encourage participation in group therapy. Promote a dynamic and stimulating environment.",,"SR [ A - 2, B - 1, C - 1, D - 1, E - 1, F - 1, G - 2 ]"
"2026-01-E2-Q09","Jan 2026",9,"Depression",14,0.642857142857143,0.276890474562796,0.69,0.26,"Moderate","Acceptable","A client with severe depression is scheduled for electroconvulsive therapy (ECT). Which statement by the client indicates a need for further teaching?","A. ""I may feel some discomfort during the ECT procedure."" B. ""I might experience some memory loss after the treatment."" C. ""I must avoid eating or drinking for several hours before ECT."" D. ""I understand ECT is an effective treatment for depression.""","A"
"2026-01-E2-Q16","Jan 2026",16,"Bipolar/mania",14,0.928571428571429,0.1457354633051,0.76,0.22,"Very easy","Low","A nurse plans care for a client experiencing acute mania. Which activity should the nurse recommend for this client?","A. Engage in a competitive board game B. Walk around the milieu slowly and alone C. Play a complex card game with others D. Find a partner to a enjoy table tennis match","B"
"2026-01-E2-Q23","Jan 2026",23,"Suicide/safety",14,0.857142857142857,0.390593878344067,0.68,0.33,"Moderate","Acceptable","A nurse is caring for a client who is high risk for suicide. Which 2 time periods require heightened vigilance to ensure the client's safety? Select two time periods.","A. During shift change B. During visiting hours C. During mealtimes D. While the client is attending group therapy E. When participating in recreational activities F. Shortly after starting antidepressant therapy","A,F"
"2026-01-E2-Q25","Jan 2026",25,"Depression",14,0.857142857142857,-0.198351445077354,0.44,0.46,"Moderate","Negative","A client with a diagnosis of major depressive disorder comes to a follow-up appointment appearing well-groomed and neatly dressed. How should the nurse respond?","A. ""What would you like to talk about today?"" B. ""It’s good to see you putting effort into taking care of yourself."" C. ""You look great today. Do you feel like things are improving?"" D. ""Does dressing nicely help you to feel better?""","A"
"2026-01-E2-Q29","Jan 2026",29,"Bipolar/mania",14,1,,0.99,0.04,"Very easy","No variance / unstable","A nurse is planning care for a client admitted in a manic state. Which action should the nurse take?","A. Encourage the client to participate in group activities. B. Provide a low-stimulation environment. C. Allow the client to make all decisions independently. D. Offer the client caffeinated beverages.","B"
"2026-01-E2-Q32","Jan 2026",32,"Bipolar/mania",14,0.928571428571429,-0.383271127236085,0.78,0.08,"Very easy","Negative","Complete the following sentence by choosing from the list of options. The nurse provides discharge education about common side effects of lithium to a client. The nurse knows the education has been effective when the client states, ""I can 1 2 expect and I should ."" 1. some weight gain, lack of coordination, severe diarrhea 2. decrease my fluid intake, decrease my sodium intake, maintain consistent hydration",,"lack of coordination|severe diarrhea|some weight gain~decrease my fluid intake|decrease my sodium intake|maintain consistent hydration"
"2026-01-E2-Q33","Jan 2026",33,"Bipolar/mania",14,1,,0.9,0.23,"Very easy","No variance / unstable","The nurse is assessing a client with bipolar disorder. Which finding places the client at greatest risk for violence?","A. The client who is hyperactive and agitated. B. The client experiencing grandiose delusions. C. The client presenting with a euphoric mood. D. The client who is experiencing flight of ideas.","A"
