"Stage","Content Group","Administrations","Sessions","Facility Minimum","Facility Maximum","Facility Range","Mean Local Item-Rest Correlation","Item Keys","Stem / Scenario"
"Quiz 3","Bipolar/mania",2,"Mar 2026; May 2026",0.631578947368421,0.9,0.268421052631579,-0.0578708345625239,"2026-03-Q3-Q11; 2026-05-Q3-Q06","A nurse is caring for a client with bipolar disorder who has a new rash all over their back. Which medication(s) should the nurse recognize the most likely cause of the rash? Select all that apply."
"Quiz 3","Suicide/safety",2,"Mar 2026; May 2026",0.736842105263158,1,0.263157894736842,0.42219946164471,"2026-03-Q3-Q02; 2026-05-Q3-Q13","A client with a history of three suicide attempts has been taking fluoxetine (Prozac) for 1 month. The client suddenly presents with a bright affect, is much more communicative, and rates mood at 9/10. Which action should be the nurse’s priority at this time?"
"Exam 2 relevant content","Depression",2,"Mar 2026; May 2026",0.578947368421053,0.818181818181818,0.239234449760766,0.370675161645137,"2026-03-E2-Q51; 2026-05-E2-Q54","A client with major depressive disorder (MDD) has been on an inpatient psychiatric unit for two days. The nurse notes that the client is minimally responsive during interactions, frequently isolates in their room, and has a flat affect. What priority action should the nurse take?"
"Exam 2 relevant content","Bipolar/mania",2,"Mar 2026; May 2026",0.68421052631579,0.909090909090909,0.22488038277512,0.00736118745030774,"2026-03-E2-Q53; 2026-05-E2-Q56","A client presents to the unit in the manic phase of bipolar disorder. What action should the nurse prioritize?"
"Quiz 3","Bipolar/mania",2,"Mar 2026; May 2026",0.68421052631579,0.9,0.21578947368421,-0.314485058361285,"2026-03-Q3-Q13; 2026-05-Q3-Q04","A client with bipolar I disorder in acute mania becomes increasingly agitated during a conversation with a visitor. The client's voice is rising, fists are clenched, and the client stands abruptly. Which nursing actions are appropriate? Select all that apply."
"Quiz 3","Depression",2,"Mar 2026; May 2026",0.842105263157895,1,0.157894736842105,0.667743404181621,"2026-03-Q3-Q06; 2026-05-Q3-Q10","A client taking sertraline was prescribed sumatriptan for migraines one week ago by a different provider. The client presents to the clinic reporting muscle twitching, agitation, diarrhea, and feeling ""shaky and hot."" Vital signs: T 38.9C, HR 112, BP 158/94. The nurse suspects serotonin syndrome. Which finding, if present, would most strongly confirm the nurse's suspicion?"
"Quiz 3","Depression",2,"Mar 2026; May 2026",0.842105263157895,1,0.157894736842105,0.211560962517938,"2026-03-Q3-Q10; 2026-05-Q3-Q07","A nurse has been working with a client whose mother died six months ago. At the initial assessment, the client met criteria for MDD superimposed on acute grief. After eight weeks of sertraline and therapy, the client reports: ""The depression is better. I have energy again and I'm back at work. But I still cry when I hear my mom's favorite song. I miss her every day."" The client asks, ""Shouldn't the medication have fixed that too?"" Which response reflects the most accurate clinical evaluation?"
"Exam 2 relevant content","Depression",2,"Mar 2026; May 2026",0.818181818181818,0.947368421052632,0.129186602870813,-0.0326471807723549,"2026-03-E2-Q50; 2026-05-E2-Q51","A nurse is teaching a client who is scheduled for electroconvulsive therapy (ECT). Which statement indicates the client requires additional education?"
"Exam 2 relevant content","Bipolar/mania",2,"Mar 2026; May 2026",0.789473684210526,0.909090909090909,0.119617224880383,-0.0620283341650799,"2026-03-E2-Q55; 2026-05-E2-Q44","A client with bipolar disorder on long-term lithium therapy presents to the clinic with new symptoms of muscle weakness, increased thirst, and frequent urination. The nurse notes the client has recently started a low-sodium diet on the advice of their primary care provider. Which action should the nurse take first?"
"Quiz 3","Bipolar/mania",2,"Mar 2026; May 2026",0.789473684210526,0.9,0.110526315789474,-0.2043226458955,"2026-03-Q3-Q12; 2026-05-Q3-Q05","A nurse is caring for a client with bipolar disorder. The client is experiencing acute mania and is found doing calisthenics instead of eating in the dining room during lunchtime. Which is the best response by the nurse?"
